FECHA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,latitud,longitud
2015-01-16 16:30:00,Solo daños,Choque,0,0,1,10.952559,-74.8035929
2015-01-16 18:20:00,Solo daños,Choque,0,0,1,11.0078847,-74.8171564
2015-01-16 06:40:00,Solo daños,Choque,0,0,1,10.95067,-74.7678562
2015-01-16 19:10:00,Solo daños,Choque,0,0,1,10.9869959,-74.8177197
2015-01-16 07:15:00,Solo daños,Choque,0,0,1,11.0041072,-74.80698129999999
2015-01-16 07:30:00,Solo daños,Choque,0,0,1,11.004818,-74.7997922
2015-01-16 07:40:00,Solo daños,Choque,0,0,1,10.9678294,-74.7923091
2015-01-16 08:05:00,Solo daños,Choque,0,0,1,10.991316,-74.79823950000001
2015-01-16 08:30:00,Solo daños,Choque,0,0,1,11.007955,-74.799061
2015-01-16 08:40:00,Solo daños,Choque,0,0,1,11.0161065,-74.7953998
2015-01-16 21:30:00,Solo daños,Choque,0,0,1,10.9968537,-74.80848329999999
2015-01-16 10:00:00,Con heridos,Choque,2,0,1,11.0154015,-74.8139975
2015-01-16 11:30:00,Solo daños,Choque,0,0,1,11.0036029,-74.8014546
2015-01-16 12:20:00,Solo daños,Choque,0,0,1,10.971448,-74.8048699
2015-01-17 13:00:00,Solo daños,Choque,0,0,1,10.9922433,-74.8039222
2015-01-17 01:20:00,Solo daños,Choque,0,0,1,10.9974724,-74.80969689999999
2015-01-17 13:20:00,Solo daños,Choque,0,0,1,11.0161065,-74.7953998
2015-01-17 13:30:00,Solo daños,Choque,0,0,1,10.9396269,-74.7791428
2015-01-17 14:15:00,Solo daños,Choque,0,0,1,11.0098374,-74.8300612
2015-01-17 14:20:00,Solo daños,Choque,0,0,1,10.9754972,-74.837589
2015-01-17 14:20:00,Solo daños,Choque,0,0,1,10.9553234,-74.7741289
2015-01-17 14:25:00,Solo daños,Choque,0,0,1,10.9916643,-74.81186149999999
2015-01-17 15:10:00,Solo daños,Choque,0,0,1,10.9480918,-74.7844941
2015-01-17 16:09:00,Con heridos,Choque,3,0,1,10.9276011,-74.8090966
2015-01-17 18:45:00,Solo daños,Choque,0,0,1,11.0167027,-74.8128772
2015-01-17 19:15:00,Solo daños,Choque,0,0,1,10.9968537,-74.80848329999999
2015-01-17 09:15:00,Solo daños,Choque,0,0,1,10.9614684,-74.7924795
2015-01-17 09:30:00,Solo daños,Choque,0,0,1,10.9850808,-74.8228613
2015-01-17 10:30:00,Solo daños,Choque,0,0,1,10.9496326,-74.79205069999999
2015-01-17 12:00:00,Solo daños,Choque,0,0,1,10.9610956,-74.8405716
2015-01-17 12:20:00,Solo daños,Choque,0,0,1,11.0149962,-74.8211783
2015-01-18 14:30:00,Solo daños,Choque,0,0,1,11.0069115,-74.8065712
2015-01-18 15:00:00,Solo daños,Choque,0,0,1,11.0161065,-74.7953998
2015-01-18 17:20:00,Solo daños,Choque,0,0,1,11.0305729,-74.83265349999999
2015-01-18 17:35:00,Solo daños,Choque,0,0,1,10.9620962,-74.7954476
2015-01-18 18:55:00,Con heridos,Atropello,2,0,1,10.9385197,-74.7794459
2015-01-18 12:30:00,Con heridos,Choque,1,0,1,10.9720271,-74.8076978
2015-01-18 12:35:00,Solo daños,Choque,0,0,1,11.0015429,-74.81907199999999
2015-01-19 13:00:00,Solo daños,Choque,0,0,1,10.9515619,-74.78607
2015-01-19 13:00:00,Solo daños,Choque,0,0,1,11.0081531,-74.8222909
2015-01-19 13:30:00,Solo daños,Choque,0,0,1,10.9950905,-74.81658449999999
2015-01-19 14:20:00,Solo daños,Choque,0,0,1,11.0186919,-74.82057979999999
2015-01-19 15:30:00,Solo daños,Choque,0,0,1,10.9751419,-74.80634789999999
2015-01-19 16:00:00,Solo daños,Choque,0,0,1,10.9435326,-74.78372610000001
2015-01-19 06:00:00,Solo daños,Choque,0,0,1,10.9511312,-74.8332813
2015-01-19 06:45:00,Solo daños,Choque,0,0,1,10.9833849,-74.812755
2015-01-19 08:50:00,Solo daños,Choque,0,0,1,10.939861,-74.7852843
2015-01-19 10:00:00,Solo daños,Choque,0,0,1,11.0087609,-74.8139834
2015-01-19 00:10:00,Solo daños,Choque,0,0,1,10.9441967,-74.82653210000001
2015-01-19 12:20:00,Solo daños,Choque,0,0,1,10.9796223,-74.805143
2015-01-20 13:40:00,Solo daños,Choque,0,0,1,11.005283,-74.813897
2015-01-20 14:00:00,Solo daños,Choque,0,0,1,10.9889245,-74.8021615
2015-01-20 14:10:00,Solo daños,Choque,0,0,1,11.0046976,-74.8121381
2015-01-20 14:20:00,Solo daños,Choque,0,0,1,11.0066116,-74.8167591
